Year,Dry Powder ($B),Remaining Value ($B),Total AUM ($B)
2006,81.60,119.00,200.60
2007,85.30,139.40,224.60
2008,84.40,142.30,226.80
2009,79.30,152.40,231.70
2010,73.20,168.70,241.80
2011,70.90,190.80,261.70
2012,71.50,197.00,268.60
2013,68.30,229.00,297.30
2014,71.60,259.20,330.90
2015,83.50,283.00,366.60
2016,102.40,290.90,393.30
2017,107.70,304.80,412.60
2018,128.60,380.50,509.10
2019,146.30,451.40,597.70
2020,176.50,607.70,784.20
2021,220.80,966.60,1187.30
2022,302.90,930.60,1233.50
2023,296.20,902.10,1198.30
