Quarter,US VC
Q12013,5.0%
Q22013,8.2%
Q32013,15.1%
Q42013,22.0%
Q12014,25.4%
Q22014,25.5%
Q32014,22.1%
Q42014,20.9%
Q12015,20.3%
Q22015,22.7%
Q32015,18.7%
Q42015,12.8%
Q12016,4.8%
Q22016,-1.7%
Q32016,-1.2%
Q42016,-0.3%
Q12017,5.0%
Q22017,7.0%
Q32017,11.2%
Q42017,9.1%
Q12018,14.0%
Q22018,18.1%
Q32018,19.7%
Q42018,19.5%
Q12019,19.1%
Q22019,15.5%
Q32019,11.8%
Q42019,16.6%
Q12020,8.9%
Q22020,14.6%
Q32020,27.3%
Q42020,37.6%
Q12021,69.8%
Q22021,78.7%
Q32021,73.1%
Q42021,62.7%
Q12022,28.9%
Q22022,3.9%
Q32022,-6.0%
Q4 2022,-17.1%
Q12023,-16.5%
Q22023,-9.5%
Q32023,-10.4%
Q42023,-4.9%
